Services;Localisation;Region;Auteur;Commentaires;Date;Etoile;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;ALVES THIERRY;Agence Pôle  emploi  où on arrive jamais à avoir quelqu'un cela fait maintenant au moins cinq à six mails que j'envoie depuis un mois toujours aucune réponse en demandant qu'on me rappelle que c'était assez urgent je trouve ça inadmissible;23/05/2018;1;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;Alexandre Sassi;Personnel pas très accueillant mais ils m'ont trouvé un CDD.On y va parce qu'il faut y aller...;22/05/2020;2;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;Morgane Fcs;Très bien, j'arrive toujours à obtenir des réponses à mes questions rapidement et les personnes y travaillant sont agréables.;22/05/2020;5;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;nathalie bouvart;C’est quoi le numéro de téléphone de cette agence;23/05/2018;1;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;degeneve jeanmarc;Trop bien;23/05/2019;5;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;ars any;Nul nul nul;22/05/2022;1;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;Kalsang Choedon;The staff are welcoming and helpful and director is very kind and patience man help me with everything;22/05/2020;5;
Pôle emploi;6 Rue du Maréchal Juin, 95210 Saint-Gratien;Île-de-France;Laure H.;S.o.s.!;22/05/2020;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Ana Carolina Vecchiatti;Très mauvaise accueil thelephonique a ce jour la! j'ai effectué un appel a la première heure pour un renseignement suite a mon inscription et la je suis choquée par la mauvaise fois et manque de compétence de cette dame que m'as même pas laisser parler et m'as dit de passer en agence directement!! Une fois l'avoir expliqué que j'avais un nourrisson malade a la maison Mme me souhaite une bonne journée et me raccroche au nez! bravo!! Vous feriez mieux de rester chez vous et laisser votre place a quelqu'un qui a envie de travailler!;22/05/2021;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Contact ISOECOLO;Je suis employeur et je cherche à recruter pour notre agence de Rosny-sous -Bois deux personnes.Une vrai bande d'incompétent qui remettent en doute la parole des employeurs plutôt que certains candidats qui ne répondent pas au téléphone.Personnel irrespectueux, profils  soumis hors critères ....Le service de la honte en deux ans je n'ai pas pu faire un seul recrutement.;22/05/2022;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;reza derdar;Rapide, efficace et réactivité des agents du service  malgré un problème de réseau  relativement indépendant et involontaire de leur part  ,car l'informatique n'était pas au rendez-vous ! Dans l'ensemble les informations sont bonnes et logiques au vu de la réforme de l'are qui est laborieuse à se mettre en place...;22/05/2022;4;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;C. Portefin;Deux étoiles car la dame qui m'a reçu, ma conseillère, était adorable.Par contre, elle est incapable de répondre aux mail.Je me pointe l'après-midi, je vais pour demander une question hyper basique, le mec est pas capable de m'ouvrir alors qu'il n'y avait pas un chat.Comment tu peux être organisme public aide aux gens sans être capable de les aider en tant voulu ?;22/05/2021;2;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;suz an;Zéro : une dame à l'accueil, vous parlez car vous êtes perdu et elle fronce des sourcils quand on parle et fait semblant de ne pas comprendre nos questions. Une femme coupe carré, type européenne, incompétente, aucune remise en question et qui n'a pas sa place à l'accueil afin d'accompagner les personnes en situation de recherche d'emploi. Une honte ! C'est déjà assez difficile comme cela....;22/05/2021;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Oh Ho;Personnel incompétent. Vous orientent vers des offres d'emploi qui ne correspondent ni à votre profil ni à vos attentes. Plus de 4 mois perdus à se faire balader pour au final se voir refuser un poste parce que ma ville ne fait pas partie du programme dinsertion vers lequel pôle emploi m'a orienté après avoir refusé de valoder des devis pour une reconversion professionnelle.  En gros si vous avez besoin de leur soutien ne faites pas appel à eux. En même temps quand on a une conseillère qui pèse 200 kilos et ne pense qu à mangerbtout au ling de sa journée il ne faut pas s'étonner. ...;22/05/2020;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Ray Liotta;Bien accueilli par une conseillère, j'ai trouvé le Pole Emploi pro. Juste un petit souci sur un autre conseiller qui a voulu m'envoyer pour un rdv de creation d'entreprise à Clichy-Sous Bois pour une question de statistique. Au final, ça m'a fait perdre une matinée à cause de son amateurisme.;22/05/2021;4;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;myriaam;Honnêtement j’aurai pu mettre aucune étoile je l’aurai fait et si je peux être payer à rien faire comme sa j’aimerai bien être à leurs place;22/05/2022;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Louiza B;Limite agressée par les dames qui y travaillent, ( pas toutes) de l’accueil particulièrement une horreur, une seule a été sympathique et je devine qu’elle est stagiaire.;22/05/2022;2;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;peter cifuentes;Bon jour a tous,en especiaux a tout l'équipe de travailleurs de Pole emploie je vous remercie pour tout l'aide que vous me donne au quotidien en especiaux amon conseiller personnelle😘💐💐💐, je vous remercie pour me orienter. …;22/05/2022;5;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Christophe Hutsebaut;Merci de désactiver votre alarme que l’on entend sonner très fréquemment (maintenant par exemple) dans toute la zone habitée du golf !;23/05/2018;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Oumou Niane;J'ai été très bien accueillie et renseignée.;22/05/2021;5;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;christian mazars;Impossible à joindre, pas de mel, roue phonique limitée, un désastre !;22/05/2021;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Malika Chy;😉😉 …;22/05/2021;4;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;thierry vandendaele;Refait à neuf;23/05/2016;3;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Brigitte Costa;Personnel incompétant !!!;23/05/2019;1;
Pôle emploi;6 Rue de Rome, 93110 Rosny-sous-Bois;Île-de-France;Bikola Povic;I went to purchase the place and they didnt know who I am. I will come back soon.;22/05/2020;1;
Pôle emploi;21 Av. du Stade de France, 93210 Saint-Denis;Île-de-France;Marc Vazzoler;Pole Emploi fermé ce matin exceptionnellement ce Vendredi 17/03/2017 (avis placardé sur la porte), contrairement à ce que l'on voit sur les horaires (ou il est indiqué ouvert ce jour).Sympa de se taper 1 heure aller, 1 heure retour, pour trouver porte close.Bon, je suppose que les gens qui travaillent sur place ne sont pas vraiment responsables, mais il devrait y avoir un meilleur suivi de l'application qui permet de voir les horaires d'ouverture sur le net.;23/05/2017;1;
Pôle emploi;21 Av. du Stade de France, 93210 Saint-Denis;Île-de-France;Ndaya M;Bel endroit. Disponibilité le matin sans rendez-vous . Alors en revanche , mon entrevue de ce matin me laisse dubitative sur la vocation de pôle emploi en général et du placement technicien en particulier. Puisque la conseillère me confirme que pour trouver du travail dans ce secteur, c'est uniquement avec mon réseau. Well ...! No comment !;22/05/2020;2;
Pôle emploi;21 Av. du Stade de France, 93210 Saint-Denis;Île-de-France;Jean-Regis Matheron;Personnel compétent, aimable, agence calme. Rien à dire.;23/05/2018;4;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Nina Mir;Agence totalmente désorganisée avec un fonctionnement chaotique. On vous change de conseiller, sans vous prévenir, tous les 4 matins.Vous vous retrouvez souvent devant des conseillers qui en savent moins que vous. De l'approximation et de l'incompétence à tous les étages ! Malheureusement une perte de temps pour le chercheur d'emploi qui ne doit pas compter sur ce Pôle Emploi pour trouver du travail !;21/02/2023;1;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Valérie NICOT;Toujours bien accueillie. Très bonne organisation et orientation lorsque l'on arrive, selon que l'on ait une convocation pour un rdv ou autres démarches.;23/12/2022;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Zineb Leghrib;Meilleur service client, rapide Employés serviables et gentils.;22/05/2022;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Clément Prot;Bien loin des clichés, des gens efficaces, compétents et en plus hyper sympas. Merci!!;22/05/2021;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;H. Khlf;Une équipe qui fait son maximum pour vous aider.;22/05/2021;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Olivier Bremaidou;Le  standard  téléphonique  car ô bout de 15minute  attente on m'a raccrocher  ô nez;23/05/2016;1;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Ange Lys;Ils sont tres gentils vraiment.;23/05/2019;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;Salah BECHBACHE;Espace agréable et professionnel.;23/05/2017;5;
Pôle emploi;75 Av. Jean Jaurès, 75019 Paris;Île-de-France;MR. ALAM BADI;Toutle person cordially.;24/10/2022;5;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Pierre HERZOG;Mon expérience avec pôle emploi est assez ambivalente, d'un côté ma conseillère fait ce qu'elle peut pour m'aider dans mon projet professionnel (que j'ai pu déterminer grâce à son soutien), de l'autre la casse du service public montre bien les conséquences : devoir tout le temps justifier avoir fait assez d'heures d'activité pour conserver ses aides, s'inscrire à une formation trouvée par pôle emploi puis se voir refuser le financement quand ils reçoivent le devis.On voit bien le non sens bureaucratique qui est partout dans cette institution, certains services qui font tout pour payer le moins possible et radier a tour de bras.Le personnel a été en tout cas très cordial et compétent avec moi.Et je ne regrette pas de m'être inscrit malgré les défauts de ce système.;24/10/2022;3;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Sabrina;Très sincèrement je ne suis jamais déçue de pôle emploi de Noisy-le-Sec. J'ai toujours été accueillie comme il ce doit dans le respect et la chaleur humaine des gens qui y travaillent. Je participe a de nombreus ateliers et clairement les animateurs et conseillers sont toujours agréable a l'écoute et dans une profonde démarche d'aide à l'accompagnement des demandeurs d'emploi. Je tiens à saluer le travail qu'ils fournissent pour diriger au mieux les personnes qui rencontre des soucis , la réactivité et la sincérité dans leurs travaux surtout dans des temps difficiles. Bravo à toute l'équipe qui en plus de mettre les gens a l'aise les motives et ça c'est bien de l'humanité pure. Merci a tous;24/10/2022;5;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Mohammed Yacine Habbat;Je ne souhaite à personne d'avoir affaire à Pôle emploi et surtout celle de Noisy le sec , service incompétent quand on les appelle au téléphone, on dirait, on fait la manche chez eux ,alors que c’est nos droits respectés les gens l’état à vous a mise en place pour les servir si vous êtes pas capable laissez vos places à des gens capables , j’ai donné une étoile car je peux pas mettre zéro dommage vous la méritez pas une étoile;23/12/2022;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Jean Fontègne;J'ai rempli un formulaire pour le réexamen de ma situation il y a un mois, ils n'ont toujours pas saisi le formulaire parce que ça prends du temps. Si vous êtes patients et que ça ne vous dérange pas de rappeler trois fois pour ne pas avoir ce que vous voulez, cette agence est faite pour vous.;26/07/2022;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Ermira Gusha;Un très bel échange avec Denis, très efficace et de très bons conseils;23/12/2022;5;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;victoire s;Ce sont des incompétent et en plus d'être incompétent fini ils donnent des trop perçu aux gens et après envoi des huissiers de justice régler les problèmes à leur place cela devient hallucinant;24/09/2022;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Ursula Kouadio;Horrible j’ai supplié une aide financière de quelque euros seulement pendant 1 an pour une formation qui débouche directement sur un emploi, mais non pôle emploi ne m’a jamais aider j’étais tellement désespérée que j’ai meme écrit une lettre au directeur pour lui expliquer le problème (un conseiller qui aide pas mais qui me drague ouvertement)Mais malheureusement pour moi ma lettre a eu aucun retour . Franchement sans commentaire plus d’emmerde que autre chose!!.;23/05/2019;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;amelie vial;Une attente sans fin devant le guichet accueil. Sur un créneau soit disant peu fréquenté il faut compter au minimum 1h avant d'expliquer à l'accueil la raison de notre venue. Ils traitent des cas pendant 20-30mn!!C'est une vraie catastrophe cet accueil. Il y a toujours la queue.Ils veulent sans doute réduire lenombre de rendez vous donnés avec des conseillers. Mais du coup il manque une capacité d'accueil supplémentaire;23/05/2019;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Eulalie Robertin;A quoi bon avoir un conseiller perso si il ne prend même pas la peine de lire vos mails... Je ne sais pas pour l'agence, ma précédente conseillère était opérationnelle (genre elle lisait mes mails)... Après si les niveaux de service ne sont pas égaux dans une même agence en fonction du conseiller dont vous héritez (c'est navrant);22/05/2020;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;sad biskra;Nikel le conseiller à pris le temps de s'occuper de mon dossier super gentil en plus c'étais un jeune de ma ville de romainville super bien c des conseillers comme lui qu'on devrait recruter 🙏🙏 …;22/05/2021;5;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Jacques Wasse;Bonne accuel personnel conpetant surtout laisse certant conseiller tre long ne pas les mutes;22/05/2022;5;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;iletait 1fois (“ilétait1fois”);Pôle emploi est devenu une catastrophe!!  il faut que le gouvernement trouve au chose, payer des gens pour se tourner les pouces? je dis ça, je dis rien.;23/05/2018;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;fabienne huyot-mansouri;Merci de prévenir que l'agence de Romainville n'existe plus et que vous ne recevez pas le public l'après midi sauf sur rendez vous, on ne se déplacera pas pour rien.;23/05/2018;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Veronica Zuniga;Je demandé un rendez-vous avec la personne qui gère les indemnités et elle a refuse de me recevoir !!! Incroyable !!!!;23/05/2019;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;ARTUS Chloé;Réception d’une mise en demeure pour un trop perçu alors que j’ai envoyé les bons documents demandés à temps...;22/05/2021;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Mou Haki;Je ne souhaite à personne d'avoir affaire à Pôle emploi;23/11/2022;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Melis;Impossible de les joindre au téléphone ou par mail donc obligé d'y aller sur place.;22/05/2020;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;Linesera Eilerua;Trop hautain ils savent rien;22/05/2021;1;
Pôle emploi;54 Rue Paul Vaillant Couturier, 93130 Noisy-le-Sec;Île-de-France;194y0 Dascencao;Trop bien ❤;22/05/2021;5;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Nina Mir;Agence totalement désorganisée avec un fonctionnement chaotique. On vous change de conseiller, sans vous prévenir, tous les 4 matins.Vous vous retrouvez souvent devant des conseillers qui en savent moins que vous. De l'approximation et de l'incompétence à tous les étages ! Malheureusement une perte de temps pour le chercheur d'emploi qui ne doit pas compter sur ce Pôle Emploi pour trouver du travail !;22/04/2023;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Nadhuma abh;Mon conseiller indemnisation n a jamais répondu à mes mails, la personne au téléphone est désagréable. Je ne comprends pas qu une personne puisse travailler à pôle emploi alors qu elle est antipathique et n’est pas compréhensive, elle n est clairement pas la pour aider;23/03/2023;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Enrico S;L’accueil est très très négative, le personnel est nerveux, agressif et pas préparé à gérer le flux de gens.Par contre, les conseilleurs sont des bonnes personnes;23/12/2022;2;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Gaétan Tondi;L'incompétence incarné !ici se sont les conseillers qui oublient les rendez-vous qu'ils vous fixent.Impossible d'avoir quelqu'un au téléphone, donc obligé de se déplacer.la file d'attente est interminable avant de pouvoir parler à une personne de l'accueil prévoyez toute la matinée !De plus dans un contexte d'épidémie, l'agence est pleine à craquer les gestes barrières sont à peine respectés.;22/05/2022;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Sahar ALAOUA;Je fais une demande de formation, je suis dans l’obligation de relancer le conseiller (demande faite il y a plus d’un mois).Ils se trompent sur le calcul des ARE 3 fois, je suis obligée de passer des heures au téléphone à expliquer ma situation. Tout est réglé mais 6 mois après rebelote je me retrouve avec un trop perçu énorme et il faut tout recommencer. J’envoie un mail pour signaler l’anomalie on m’explique que c’est normal.Je ne savais pas qu’être inscrit chez Pôle Emploi, relevait du parcours du combattant. C’est déjà assez difficile de retrouver un emploi et en plus il faut s’occuper des erreurs administratives dont ils sont à l’origine.Bon courage aux demandeurs d’emploi !;22/05/2022;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Justine Fontaine;Les agents font un travail difficile mais le jour où je suis allée à l’agence tout le monde a été aimable et m’a aidée au mieux , toute mon admiration et ma reconnaissance aux salarié(e)s !;26/07/2022;5;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Célia Pascaline (C3l1a);Ils envoient des mails pour des formations et lorsque l'on a fini toutes démarches pour s'inscrire, on nous répond pôle emploi ne prend pas en charge cette formation. Alors que les mails viennent d'eux ! Répondent systématiquement négativement aux devis de formation. Très insatisfaite de ce service !;22/05/2021;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;MICHOT Olivier;Faire le 3949 pour savoir où en est mon dossier dont je suis sans nouvelle depuis quatre mois et de s’entendre dire “je n’en sais rien , je ne suis pas pôle emploi mais une plate-forme d’appels qui travaille pour pôle emploi donc aller voir votre agence »Je dis à cette personne que les agences proches de chez moi ne gère pas les CSP, et elle de me répondre « ce n’est pas mon problème....et moi j’ai un travail !! » et elle raccroche . Vous avez dit service aux demandeurs d’emplois ?? J’ai beau chercher je ne le trouve pas....;22/05/2021;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;WoTaN;Même si comme toujours y'a toujours trop de monde, l'organisation du lieu permet un accueil rapide (ensuite faut faire la queue), la mise à disposition des postes informatiques et le professionnalisme du personnel en font un lieu très agréable. C'est propre, aéré, bien organisé et aménagé.;23/05/2017;5;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Marie Mouix;Une honte. Une chaine comme au Mac Donald, et je pèse mes mots,Aucune information sur les formations. je reçois des e-mails de proposition d'emploi pour faire un CAP de cuisine, alors que je suis Maitre d’hôtel, c 'est une blague... J' attend toujours ma réponse pour une aide au permis de conduire.;22/05/2021;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;ouriel;Expérience nul! Les employés à l’accueil sont désagréables ! Ont leur parle gentiment et ils répondent froidement surtout la jeune demoiselle a l’accueil et son collègue le chauve ! Ils sont vraiment froid et désagréable et répondent de manière insolente au client... revoyez votre politesse.;22/05/2020;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Patricia Saccaggi;Je suis venue car je suis en accident de travail et j'ai besoin d'avoir des informations pour changer de travail. J''ai été reçue à l'accueil par un conseiller très sympathique qui m'a indiqué de m'inscrire en tant que catégorie 5 puisque je suis salariée à temps plein, seulement lorsque je vais sur le site, je ne peux pas m'inscrire en étant salariée à temps plein. Je suis un peu déçue et ne sais comment faire.;23/05/2019;4;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Adam A;On est livré à nous mêmes concernant les formations, aucun accompagnement, rendez-vous demandé par moi-même et annulé sans nouveau rendez-vous programmé. Il y a tellement de choses à dire mais bref service médiocre;22/05/2020;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Nishan Austin;Service catastrophique. Accueil très décevants avec aucun sens du respect envers les personnes.Ne sont pas capable de répondre à vos questions. Et lorsque l’on cherche à avoir une réponse, cherche un moyen pour ne plus vous répondre.A fuir !!;22/05/2022;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Anny P;Un document demandé depuis un an. Après plusieurs déplacements, d'emails, de demandes de rdv et un coup de pression. Je ne sais pas quoi dire. Mais j'ai enfin mon rdv donc Youpi et vive la France.;23/05/2019;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Camélia Ouahabi;Au top ! Je n'ai même pas attendu 5min. On m'a rapidement pris en charge et j'ai reçu de très bon conseils sur mes projets d'avenir.;23/05/2018;5;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Julian Arlia;Vous arrivez même a inventer des faux emplois mais précaire au final, mais pour des entreprises a fric, entre les banques a optimisation, votre btp, il y a plus rien de bon;22/05/2020;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Nossy Happiness;À fuire ! La conseillère va tout faire pour vous décourager et vous caser dans un métier que vous n'aimez pas.;22/05/2021;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;La Merguez;Qu'il y'a des gens pour te renseigner mes pas beaucoup de temp à t'accorder et le matériel dont les ordi... Sont très acessible;23/05/2017;5;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;José Verano;Agents attentifs, bon accueil;25/08/2022;4;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Mohamed Chenane;C'est immonde... !;22/05/2020;1;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;Jaime Mercant;Trop du monde!;23/05/2017;2;
Pôle emploi;44 Rue Armand Carrel, 75019 Paris;Île-de-France;İndirme Sanatı;Y a-t-il un travail, je n'ai pas trouvé de travail en Turquie, tentons notre chance ici;23/05/2019;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Pierrick Turbé;Bonjour, une excellente année 2023. Je tiens à remercier veronique Loy et Joel Morin pour leur travail sur mon dossier. En effet j’ai pu obtenir une formation au CAP CUISINE avec le module création d’entreprise et reconversion. Activ créa et activ projet. L’équipe est disponible et réactive. Ne baissez pas les bras tout est possible et encore plus pour cette année 2023.;22/01/2023;5;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Sofia DE FREITAS;Prise de rendez-vous impossible via la plate-forme. Conseiller qui ne suit pas vos mails, et vous traite de menteur quand vous les appelez pour leurs notifier, et qui raccrochent au nez quand vous essayer d’expliquer votre situation.Merci de faire le nécessaire pour améliorer vos services.;25/08/2022;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Sandrine;BonjourIl est impossible de pouvoir s'inscrire sur Pôle emploi et ce depuis plusieurs jours voir semaine.... C'est vraiment navrant car cela va m'obliger à passer à l'agence, il serait bien que vous puissiez faire quelque chose sur votre appli qui fonctionne très mal.;22/05/2022;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Aurore Mariani;Je me demande pourquoi les conseillers ont choisi ce travail si ils n'ont pas envie d'aider les gens ? Je rencontrai un problème au niveau de mon inscription et au bout de 3semaines toujours pas réglé . j'envoi donc un mail à ma conseillère dont je taierais son nom, pour avoir de l'aide et elle me répond je fais pas les inscription moi d'accord donc je fais comment etant donné que je n'ai pas d'identifiant et que personne ne fais rien pour m'aider. Et le gros lot, ce jour, ou je lui demande un rdv pour une création d'entreprise et elle me répond les rdv se prennent par téléphone, merciok donc clairement elle sert à quoi . j'ai hate de la rencontrer dites donc :);22/05/2021;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Céline Gorki;Mesure d'hygiène respecter par le personnel qui est très agréable.Il serais bien que les demandeur d'emploi soit plus aimable avec le personnel qui a bien du courage de rester zenMerci à Noëmie pour son aide, sa gentillesse et sont aimabilitéBon courage et merci à toute l'équipe;22/05/2022;5;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Marie Deshors;Agence agréable avec un bon accueil des conseillers performants qui répondent rapidement à mes demandes. Un grand merci à Monsieur Pierron William qui fait preuve d’une grande implication et d’un réel sens de la relation humaine. Merci à l’équipe de Taverny;22/05/2020;5;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Morgane Ballif;Une agence qui ne correspond pas aux clichés que l'on se fait de pôle emploi.Je souligne la présence de conseillers attentifs, réactifs et conscientieux permettant une efficacité remarquable.;22/05/2020;5;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;FRANCOIS CORBEAU;L’amabilité de la personne à l’accueil du  27 juin âpres midi est à mettre à la poubelle. Heureusement que d’autre sont au-dessus de sont niveau. Vous avez besoin d’un renseignement adressé vous à personne c’est mieux. En cinquante ans aucun service digne de ce nom.;22/05/2020;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Bénédicte Fossé;Je suis surprise de lire des manifestations négatives de cette agence. Licenciée a 57 abs, il on pris le temps de me rassurer et me donner routes les informations dont j'avais besoin. Ils font preuve d'humanisme. merci pour leur professionnalisme.;23/05/2019;5;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;cecilia garreau;Une blague!!!! Je remets des papiers dans la boite aux lettres suite a ma reinscription ( qui ne m amuse pas tout...) en me disant qu ils vont me trouver l excuse de la poste.Quelques jours plus tard on me laisse un message sur mon repondeur en me disant qu ils n ont pas mes papiers.Je me deplace le lendemain, on ne trouve pas mes papiers deposés dans la boite aux lettres.je les remets a l accueil en main propre.le monsieur de l accueil s excuse prends mes papiers et me dit qu ils vont regler mon probleme au plus vite.Une semaine apres je retourne sur le site mes papiers sont toujours a transmettre j appel l agence apres 30 min d attente on me dit qu ils ont mes papiers remis dans la boite aux lettres par contre aucune trace de mes papiers remis en main propre et qu il y a un papier qui n est pas valable ( que je n ai jamais remis mais pas de trace du bon papier que j ai donner).Je fini par m agacer le monsieur me dit de me calmer je lui explique que ca fait 17 jours que ca traine qu on me fait tourner en rond que j ai des enfants a nourrir et pas de rentree d argent que lui aura sa paye a la fin du mois c est pour ca qu il est calme il me raccroche au nez en me disant que sa paye et sa vie privee  ne me regarde pas... par contre moi je dois donner toute ma vie privee nom adresse numero de telephone ou j ai travailler cb j ai d enfants juste pour toucher ce qui me revient de droit....et bien sur je n ai pas son nom une blague non?;23/05/2019;1;
Pôle emploi;47 Rue de Montmorency, 95150 Taverny;Île-de-France;Alain Georges;L'accueil et la réactivité des équipes sont de très bonnes qualités.Notamment Mm Noemie.Merci pour les services rendus et la compréhension des différents problèmes.;22/05/2022;5;
